# Warmup Iteration   6: 1283,593 ops/s
# Warmup Iteration   7: 1263,526 ops/s
# Warmup Iteration   8: 1328,124 ops/s
# Warmup Iteration   9: 1371,169 ops/s
# Warmup Iteration  10: 1367,681 ops/s
# Warmup Iteration  11: 1338,040 ops/s
# Warmup Iteration  12: 1360,465 ops/s
# Warmup Iteration  13: 1367,549 ops/s
# Warmup Iteration  14: 1327,637 ops/s
# Warmup Iteration  15: 1332,145 ops/s
# Warmup Iteration  16: 1329,327 ops/s
# Warmup Iteration  17: 1390,651 ops/s
# Warmup Iteration  18: 1353,877 ops/s
# Warmup Iteration  19: 1361,843 ops/s
# Warmup Iteration  20: 1341,579 ops/s
Iteration   1: 1380,265 ops/s
Iteration   2: 1327,947 ops/s
Iteration   3: 1345,977 ops/s
Iteration   4: 1350,293 ops/s
Iteration   5: 1369,223 ops/s
Iteration   6: 1356,926 ops/s
Iteration   7: 1363,275 ops/s
Iteration   8: 1307,401 ops/s
Iteration   9: 1396,866 ops/s
Iteration  10: 1323,025 ops/s
Iteration  11: 1366,129 ops/s
Iteration  12: 1329,972 ops/s
Iteration  13: 1384,163 ops/s
Iteration  14: 1340,889 ops/s
Iteration  15: 1367,728 ops/s
Iteration  16: 1325,384 ops/s
Iteration  17: 1387,373 ops/s
Iteration  18: 1375,451 ops/s
Iteration  19: 1362,462 ops/s
Iteration  20: 1335,874 ops/s


Result: 1354,831 ±(99.9%) 21,377 ops/s [Average]
  Statistics: (min, avg, max) = (1307,401, 1354,831, 1396,866), stdev = 24,618
  Confidence interval (99.9%): [1333,454, 1376,209]


# JMH 1.5.2 (released 30 days ago)
# VM invoker: /home/my/dev/java/jdk1.8.0_40/jre/bin/java
# VM options: -Djava.util.Arrays.useLegacyMergeSort=true -server -Xmx2g -XX:+TieredCompilation
# Warmup: 20 iterations, 2000 ms each
# Measurement: 20 iterations, 2000 ms each
# Timeout: 10 min per iteration
# Threads: 2 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: fr.soat.LambdaMergeSortBenchmark.lambda_comparing
# Parameters: (nbPersons = 10000)

# Run progress: 19,05% complete, ETA 00:56:59
# Fork: 1 of 1
# Warmup Iteration   1: 384,164 ops/s
# Warmup Iteration   2: 602,652 ops/s
# Warmup Iteration   3: 601,506 ops/s
# Warmup Iteration   4: 607,859 ops/s
# Warmup Iteration   5: 594,259 ops/s
# Warmup Iteration   6: 607,258 ops/s
# Warmup Iteration   7: 608,680 ops/s
# Warmup Iteration   8: 582,073 ops/s
# Warmup Iteration   9: 603,289 ops/s
# Warmup Iteration  10: 592,999 ops/s
# Warmup Iteration  11: 608,302 ops/s
# Warmup Iteration  12: 606,374 ops/s
# Warmup Iteration  13: 624,905 ops/s
# Warmup Iteration  14: 593,659 ops/s
# Warmup Iteration  15: 615,479 ops/s
# Warmup Iteration  16: 613,784 ops/s
# Warmup Iteration  17: 583,317 ops/s
# Warmup Iteration  18: 603,470 ops/s
# Warmup Iteration  19: 618,264 ops/s
# Warmup Iteration  20: 599,308 ops/s
Iteration   1: 583,593 ops/s
Iteration   2: 620,121 ops/s
Iteration   3: 623,500 ops/s
Iteration   4: 610,180 ops/s
Iteration   5: 580,872 ops/s
Iteration   6: 613,365 ops/s
Iteration   7: 592,337 ops/s
Iteration   8: 611,364 ops/s
Iteration   9: 609,450 ops/s
Iteration  10: 593,528 ops/s
Iteration  11: 600,296 ops/s
Iteration  12: 599,756 ops/s
Iteration  13: 619,723 ops/s
Iteration  14: 607,241 ops/s
Iteration  15: 603,643 ops/s
Iteration  16: 601,410 ops/s
Iteration  17: 614,625 ops/s
Iteration  18: 592,000 ops/s
Iteration  19: 614,642 ops/s
Iteration  20: 596,095 ops/s


Result: 604,387 ±(99.9%) 10,490 ops/s [Average]
  Statistics: (min, avg, max) = (580,872, 604,387, 623,500), stdev = 12,081
  Confidence interval (99.9%): [593,897, 614,877]


# JMH 1.5.2 (released 30 days ago)
# VM invoker: /home/my/dev/java/jdk1.8.0_40/jre/bin/java
# VM options: -Djava.util.Arrays.useLegacyMergeSort=true -server -Xmx2g -XX:+TieredCompilation
# Warmup: 20 iterations, 2000 ms each
# Measurement: 20 iterations, 2000 ms each
# Timeout: 10 min per iteration
# Threads: 2 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: fr.soat.LambdaMergeSortBenchmark.lambda_comparing
# Parameters: (nbPersons = 50000)

# Run progress: 21,43% complete, ETA 00:54:36
# Fork: 1 of 1
# Warmup Iteration   1: 55,316 ops/s
# Warmup Iteration   2: 75,863 ops/s
# Warmup Iteration   3: 74,074 ops/s
# Warmup Iteration   4: 76,389 ops/s
# Warmup Iteration   5: 75,867 ops/s
# Warmup Iteration   6: 77,200 ops/s
# Warmup Iteration   7: 76,039 ops/s
# Warmup Iteration   8: 73,184 ops/s
# Warmup Iteration   9: 76,543 ops/s
# Warmup Iteration  10: 75,950 ops/s
# Warmup Iteration  11: 75,914 ops/s
# Warmup Iteration  12: 73,351 ops/s
# Warmup Iteration  13: 76,228 ops/s
# Warmup Iteration  14: 76,059 ops/s
# Warmup Iteration  15: 73,438 ops/s
# Warmup Iteration  16: 74,731 ops/s
# Warmup Iteration  17: 75,250 ops/s
# Warmup Iteration  18: 74,839 ops/s
# Warmup Iteration  19: 77,160 ops/s
# Warmup Iteration  20: 77,015 ops/s
Iteration   1: 76,890 ops/s
Iteration   2: 74,944 ops/s
Iteration   3: 76,382 ops/s
Iteration   4: 75,407 ops/s
Iteration   5: 74,073 ops/s
Iteration   6: 74,831 ops/s
Iteration   7: 74,757 ops/s
Iteration   8: 76,653 ops/s
Iteration   9: 74,741 ops/s
Iteration  10: 74,087 ops/s
Iteration  11: 76,641 ops/s
Iteration  12: 73,719 ops/s
Iteration  13: 75,013 ops/s
Iteration  14: 75,472 ops/s
Iteration  15: 76,040 ops/s
Iteration  16: 73,959 ops/s
Iteration  17: 76,476 ops/s
Iteration  18: 76,722 ops/s
Iteration  19: 76,737 ops/s
Iteration  20: 76,858 ops/s


Result: 75,520 ±(99.9%) 0,959 ops/s [Average]
  Statistics: (min, avg, max) = (73,719, 75,520, 76,890), stdev = 1,104
  Confidence interval (99.9%): [74,561, 76,479]


# JMH 1.5.2 (released 30 days ago)
# VM invoker: /home/my/dev/java/jdk1.8.0_40/jre/bin/java
# VM options: -Djava.util.Arrays.useLegacyMergeSort=true -server -Xmx2g -XX:+TieredCompilation
# Warmup: 20 iterations, 2000 ms each
# Measurement: 20 iterations, 2000 ms each
# Timeout: 10 min per iteration
# Threads: 2 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: fr.soat.LambdaMergeSortBenchmark.lambda_comparing
# Parameters: (nbPersons = 100000)

# Run progress: 23,81% complete, ETA 00:52:30
# Fork: 1 of 1
# Warmup Iteration   1: 24,750 ops/s
# Warmup Iteration   2: 30,576 ops/s
# Warmup Iteration   3: 30,557 ops/s
# Warmup Iteration   4: 30,165 ops/s
# Warmup Iteration   5: 29,827 ops/s
# Warmup Iteration   6: 30,262 ops/s
# Warmup Iteration   7: 29,239 ops/s
# Warmup Iteration   8: 29,373 ops/s
# Warmup Iteration   9: 29,970 ops/s
# Warmup Iteration  10: 29,807 ops/s
# Warmup Iteration  11: 30,115 ops/s
# Warmup Iteration  12: 30,373 ops/s
# Warmup Iteration  13: 29,658 ops/s
# Warmup Iteration  14: 30,927 ops/s
# Warmup Iteration  15: 29,970 ops/s
# Warmup Iteration  16: 30,349 ops/s
# Warmup Iteration  17: 30,169 ops/s
# Warmup Iteration  18: 30,897 ops/s
# Warmup Iteration  19: 29,744 ops/s
# Warmup Iteration  20: 30,878 ops/s
Iteration   1: 30,189 ops/s
Iteration   2: 30,008 ops/s
Iteration   3: 30,336 ops/s
Iteration   4: 30,424 ops/s
Iteration   5: 30,107 ops/s
Iteration   6: 30,827 ops/s
Iteration   7: 29,915 ops/s
Iteration   8: 29,929 ops/s
Iteration   9: 30,756 ops/s
Iteration  10: 29,607 ops/s
Iteration  11: 29,823 ops/s
Iteration  12: 30,364 ops/s
Iteration  13: 30,561 ops/s
Iteration  14: 29,316 ops/s
Iteration  15: 29,675 ops/s
Iteration  16: 31,067 ops/s
Iteration  17: 30,759 ops/s
Iteration  18: 30,816 ops/s
Iteration  19: 30,992 ops/s
Iteration  20: 30,990 ops/s


Result: 30,323 ±(99.9%) 0,449 ops/s [Average]
  Statistics: (min, avg, max) = (29,316, 30,323, 31,067), stdev = 0,517
  Confidence interval (99.9%): [29,874, 30,772]


# JMH 1.5.2 (released 30 days ago)
# VM invoker: /home/my/dev/java/jdk1.8.0_40/jre/bin/java
# VM options: -Djava.util.Arrays.useLegacyMergeSort=true -server -Xmx2g -XX:+TieredCompilation
# Warmup: 20 iterations, 2000 ms each
# Measurement: 20 iterations, 2000 ms each
# Timeout: 10 min per iteration
# Threads: 2 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: fr.soat.LambdaMergeSortBenchmark.lambda_comparing
# Parameters: (nbPersons = 200000)

# Run progress: 26,19% complete, ETA 00:50:37
# Fork: 1 of 1
# Warmup Iteration   1: 8,820 ops/s
# Warmup Iteration   2: 13,396 ops/s
# Warmup Iteration   3: 13,458 ops/s
# Warmup Iteration   4: 13,225 ops/s
# Warmup Iteration   5: 13,428 ops/s
# Warmup Iteration   6: 13,168 ops/s
# Warmup Iteration   7: 13,500 ops/s
# Warmup Iteration   8: 13,372 ops/s
# Warmup Iteration   9: 13,443 ops/s
# Warmup Iteration  10: 13,445 ops/s
# Warmup Iteration  11: 13,037 ops/s
# Warmup Iteration  12: 13,101 ops/s
# Warmup Iteration  13: 13,131 ops/s
# Warmup Iteration  14: 13,096 ops/s
# Warmup Iteration  15: 13,463 ops/s
