# Warmup Iteration   6: 32,374 ops/s
# Warmup Iteration   7: 33,322 ops/s
# Warmup Iteration   8: 33,161 ops/s
# Warmup Iteration   9: 32,299 ops/s
# Warmup Iteration  10: 33,583 ops/s
# Warmup Iteration  11: 33,543 ops/s
# Warmup Iteration  12: 32,206 ops/s
# Warmup Iteration  13: 31,387 ops/s
# Warmup Iteration  14: 32,214 ops/s
# Warmup Iteration  15: 33,070 ops/s
# Warmup Iteration  16: 33,438 ops/s
# Warmup Iteration  17: 33,393 ops/s
# Warmup Iteration  18: 31,473 ops/s
# Warmup Iteration  19: 32,363 ops/s
# Warmup Iteration  20: 33,126 ops/s
Iteration   1: 32,324 ops/s
Iteration   2: 32,505 ops/s
Iteration   3: 31,821 ops/s
Iteration   4: 33,201 ops/s
Iteration   5: 31,478 ops/s
Iteration   6: 32,716 ops/s
Iteration   7: 33,166 ops/s
Iteration   8: 32,985 ops/s
Iteration   9: 32,200 ops/s
Iteration  10: 32,292 ops/s
Iteration  11: 32,360 ops/s
Iteration  12: 32,381 ops/s
Iteration  13: 31,909 ops/s
Iteration  14: 32,431 ops/s
Iteration  15: 33,726 ops/s
Iteration  16: 32,356 ops/s
Iteration  17: 32,714 ops/s
Iteration  18: 33,526 ops/s
Iteration  19: 33,614 ops/s
Iteration  20: 32,304 ops/s


Result: 32,600 ±(99.9%) 0,526 ops/s [Average]
  Statistics: (min, avg, max) = (31,478, 32,600, 33,726), stdev = 0,606
  Confidence interval (99.9%): [32,074, 33,127]


# JMH 1.5.2 (released 30 days ago)
# VM invoker: /home/my/dev/java/jdk1.7.0_75/jre/bin/java
# VM options: -server -Xmx2g -XX:+TieredCompilation
# Warmup: 20 iterations, 2000 ms each
# Measurement: 20 iterations, 2000 ms each
# Timeout: 10 min per iteration
# Threads: 2 threads, will synchronize iterations
# Benchmark mode: Throughput, ops/time
# Benchmark: fr.soat.AnonymousClassSortBenchmark.anonymous_class_for_comparator
# Parameters: (nbPersons = 200000)

# Run progress: 78,57% complete, ETA 00:04:54
# Fork: 1 of 1
# Warmup Iteration   1: 11,265 ops/s
# Warmup Iteration   2: 13,272 ops/s
# Warmup Iteration   3: 13,319 ops/s
# Warmup Iteration   4: 13,572 ops/s
# Warmup Iteration   5: 13,644 ops/s
# Warmup Iteration   6: 13,353 ops/s
# Warmup Iteration   7: 13,394 ops/s
# Warmup Iteration   8: 13,680 ops/s
# Warmup Iteration   9: 13,553 ops/s
# Warmup Iteration  10: 13,354 ops/s
# Warmup Iteration  11: 13,629 ops/s
# Warmup Iteration  12: 13,407 ops/s
# Warmup Iteration  13: 13,363 ops/s
# Warmup Iteration  14: 13,167 ops/s
# Warmup Iteration  15: 13,168 ops/s
# Warmup Iteration  16: 13,377 ops/s
# Warmup Iteration  17: 13,856 ops/s
# Warmup Iteration  18: 13,140 ops/s
# Warmup Iteration  19: 13,467 ops/s
# Warmup Iteration  20: 13,806 ops/s
Iteration   1: 13,332 ops/s
Iteration   2: 13,322 ops/s
Iteration   3: 13,310 ops/s
Iteration   4: 13,092 ops/s
Iteration   5: 13,645 ops/s
Iteration   6: 13,681 ops/s
Iteration   7: 13,263 ops/s
Iteration   8: 13,328 ops/s
Iteration   9: 13,219 ops/s
Iteration  10: 13,608 ops/s
Iteration  11: 13,442 ops/s
Iteration  12: 13,684 ops/s
Iteration  13: 13,244 ops/s
Iteration  14: 13,374 ops/s
Iteration  15: 13,642 ops/s
Iteration  16: 13,744 ops/s
Iteration  17: 13,305 ops/s
Iteration  18: 13,809 ops/s
